	点	2461	3	0
	点	2615	1	0
	点	2769	2	0
	点	2923	0	0
	点	3076	3	0
	点	3230	1	0
	点	3384	2	0
	按	3538	0	462
	点	4000	3	0
	点	4153	1	0
	点	4307	2	0
	点	4461	0	0
	点	4461	3	0
	点	4615	1	0
	点	4615	2	0
	点	4769	0	0
	按	4769	3	461
	点	5230	0	0
	点	5384	2	0
	点	5538	1	0
	点	5692	3	0
	点	5846	0	0
	按	6000	3	461
	点	6307	0	0
	点	6461	1	0
	点	6615	3	0
	点	6769	0	0
	点	6769	2	0
	点	6923	1	0
	点	6923	3	0
	点	7076	2	0
开始	按	7230	0	462
结束	滑	7692	0	1
	按	7692	3	1231
	点	7846	2	0
	点	8000	0	0
	点	8153	1	0
	点	8307	2	0
开始	按	8461	1	462
结束	滑	8923	1	-1
	点	9076	2	0
	点	9230	1	0
	点	9230	3	0
	点	9384	0	0
	点	9384	2	0
	点	9538	1	0
	点	9538	3	0
开始	按	9692	0	1231
持续	滑	10923	0	1
持续	按	10923	1	1077
结束	滑	12000	1	-1
开始	按	9692	2	461
结束	滑	10153	2	1
	点	10307	3	0
	点	10461	2	0
	点	10615	1	0
	点	10769	2	0
开始	按	10923	3	461
结束	滑	11384	3	-1
	点	11538	2	0
	点	11692	3	0
	点	11846	2	0
	滑	12000	2	1
	滑	12307	1	-1
开始	滑	12307	2	1
持续	按	12307	3	154
结束	滑	12461	3	-1
	点	12461	0	0
	点	12615	1	0
	滑	12769	2	1
	点	12923	0	0
	点	13076	0	0
开始	滑	13076	2	1
持续	按	13076	3	154
持续	滑	13230	3	-1
持续	按	13230	2	154
持续	滑	13384	2	1
持续	按	13384	3	769
持续	滑	14153	3	-1
结束	按	14153	2	462
	点	13230	1	0
	点	13538	0	0
	点	13692	0	0
	点	13846	1	0
	点	14153	0	0
	点	14307	0	0
	点	14461	1	0
	滑	14615	1	-1
开始	滑	14769	1	-1
持续	按	14769	0	154
结束	滑	14923	0	1
	点	14769	2	0
	点	14923	2	0
	点	15076	3	0
	滑	15230	1	-1
	点	15384	3	0
开始	滑	15538	1	-1
持续	按	15538	0	154
持续	滑	15692	0	1
持续	按	15692	1	154
持续	滑	15846	1	-1
持续	按	15846	0	538
持续	滑	16384	0	1
持续	按	16384	1	77
持续	滑	16461	1	1
持续	按	16461	2	77
持续	滑	16538	2	-1
持续	按	16538	1	77
持续	滑	16615	1	-1
持续	按	16615	0	77
持续	滑	16692	0	1
持续	按	16692	1	77
持续	滑	16769	1	1
持续	按	16769	2	77
持续	滑	16846	2	-1
持续	按	16846	1	77
持续	滑	16923	1	-1
持续	按	16923	0	77
持续	滑	17000	0	1
持续	按	17000	1	76
持续	滑	17076	1	1
持续	按	17076	2	77
持续	滑	17153	2	-1
持续	按	17153	1	77
结束	滑	17230	1	-1
	点	15538	3	0
	点	15692	2	0
	滑	15846	2	1
	点	16000	3	0
	点	16153	3	0
	点	16307	2	0
	点	16615	3	0
	点	16769	3	0
	点	16923	3	0
开始	滑	17230	3	-1
持续	按	17230	2	154
结束	滑	17384	2	1
	点	17384	1	0
	点	17538	0	0
	滑	17692	3	-1
	点	17846	1	0
	点	18000	1	0
开始	滑	18000	3	-1
持续	按	18000	2	153
持续	滑	18153	2	1
持续	按	18153	3	154
持续	滑	18307	3	-1
持续	按	18307	2	769
持续	滑	19076	2	1
结束	按	19076	3	462
	点	18153	0	0
	点	18461	1	0
	点	18615	1	0
	点	18769	0	0
	点	19076	1	0
	点	19230	1	0
	点	19384	0	0
	滑	19538	1	-1
开始	滑	19692	0	1
持续	按	19692	1	154
结束	滑	19846	1	-1
	点	19692	2	0
	点	19846	2	0
	点	20000	3	0
	滑	20153	0	1
	点	20307	2	0
开始	滑	20461	0	1
持续	按	20461	1	154
持续	滑	20615	1	-1
持续	按	20615	0	154
持续	滑	20769	0	1
持续	按	20769	1	1077
结束	滑	21846	1	-1
	点	20461	2	0
	点	20615	3	0
	滑	20769	2	1
	点	20923	2	0
	点	21076	2	0
	点	21230	3	0
	点	21384	2	0
开始	按	21538	3	77
持续	滑	21615	3	-1
持续	按	21615	2	77
持续	滑	21692	2	1
持续	按	21692	3	77
持续	滑	21769	3	-1
持续	按	21769	2	77
结束	滑	21846	2	1
	点	22153	3	0
	点	22307	1	0
	点	22461	0	0
	点	22614	2	0
